Zipcode,Median household income in the past 12 months,Total Number of House-hold in the past 12 months,"Total Number of House-hold with Less than $10,000","Total Number of House-hold with an Income of $10,000 to $14,999","Total Number of House-hold with an Income of $15,000 to $19,999","Total Number of House-hold with an Income of $20,000 to $24,999","Total Number of House-hold with an Income of $25,000 to $29,999","Total Number of House-hold with an Income of $30,000 to $34,999","Total Number of House-hold with an Income of $35,000 to $39,999","Total Number of House-hold with an Income of $40,000 to $44,999","Total Number of House-hold with an Income of $45,000 to $49,999","Total Number of House-hold with an Income of $50,000 to $59,999","Total Number of House-hold with an Income of $60,000 to $74,999","Total Number of House-hold with an Income of $75,000 to $99,999","Total Number of House-hold with an Income of $100,000 to $124,999","Total Number of House-hold with an Income of $125,000 to $149,999","Total Number of House-hold with an Income of $150,000 to $199,999","Total Number of House-hold with an Income of $200,000 or more"
77071,49137.0,9912.0,904.0,538.0,548.0,560.0,478.0,454.0,589.0,642.0,282.0,904.0,640.0,1166.0,672.0,481.0,632.0,422.0
77074,36593.0,13130.0,1323.0,782.0,1220.0,1175.0,955.0,769.0,830.0,718.0,678.0,1090.0,1062.0,1181.0,571.0,382.0,242.0,152.0
77088,44472.0,17381.0,1605.0,950.0,1331.0,1190.0,1080.0,1017.0,675.0,932.0,811.0,1538.0,1894.0,2073.0,1108.0,588.0,418.0,171.0
77090,39392.0,15487.0,1154.0,728.0,1098.0,1424.0,657.0,1985.0,807.0,805.0,586.0,1836.0,1523.0,1287.0,698.0,408.0,264.0,227.0
77098,87820.0,8090.0,535.0,221.0,113.0,190.0,197.0,233.0,66.0,263.0,376.0,589.0,811.0,1030.0,658.0,599.0,700.0,1509.0
77083,54786.0,22380.0,1000.0,1048.0,897.0,1238.0,1171.0,1153.0,1646.0,1162.0,995.0,1937.0,2639.0,2977.0,1728.0,1220.0,1066.0,503.0
77401,172205.0,7011.0,176.0,125.0,101.0,34.0,62.0,133.0,185.0,135.0,95.0,240.0,286.0,543.0,602.0,425.0,690.0,3179.0
77433,103773.0,23046.0,599.0,281.0,198.0,446.0,389.0,753.0,676.0,561.0,472.0,1306.0,2259.0,3079.0,3028.0,2391.0,3014.0,3594.0
77504,40693.0,8620.0,598.0,610.0,667.0,720.0,724.0,445.0,454.0,576.0,357.0,655.0,714.0,738.0,485.0,348.0,212.0,317.0
77338,50263.0,13714.0,927.0,432.0,979.0,775.0,971.0,678.0,528.0,812.0,696.0,1495.0,1234.0,1696.0,1211.0,764.0,238.0,278.0
77339,73466.0,15918.0,564.0,408.0,508.0,483.0,659.0,489.0,305.0,928.0,468.0,1389.0,1874.0,2390.0,1922.0,1366.0,978.0,1187.0
77429,103092.0,27727.0,640.0,445.0,325.0,444.0,553.0,536.0,693.0,1009.0,659.0,1536.0,2555.0,4024.0,3752.0,2923.0,3462.0,4171.0
77507,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77562,62077.0,3690.0,183.0,100.0,212.0,83.0,241.0,102.0,96.0,147.0,170.0,403.0,561.0,490.0,374.0,286.0,132.0,110.0
77004,48592.0,13340.0,1972.0,982.0,661.0,649.0,452.0,440.0,538.0,728.0,315.0,842.0,888.0,1027.0,911.0,825.0,1026.0,1084.0
77008,97690.0,16116.0,613.0,291.0,514.0,332.0,372.0,617.0,534.0,394.0,490.0,887.0,1561.0,1599.0,1279.0,1169.0,1783.0,3681.0
77006,82878.0,12493.0,452.0,481.0,371.0,332.0,576.0,431.0,409.0,328.0,222.0,944.0,1272.0,1216.0,1167.0,883.0,1299.0,2110.0
77009,49383.0,14176.0,1179.0,1079.0,890.0,762.0,799.0,651.0,615.0,729.0,445.0,985.0,810.0,1379.0,975.0,632.0,858.0,1388.0
77014,45596.0,11606.0,1015.0,618.0,743.0,575.0,734.0,811.0,821.0,429.0,566.0,920.0,1148.0,1296.0,899.0,352.0,415.0,264.0
77031,44459.0,5992.0,465.0,342.0,252.0,565.0,362.0,294.0,348.0,410.0,156.0,678.0,558.0,653.0,350.0,221.0,208.0,130.0
77034,47252.0,12363.0,607.0,347.0,712.0,816.0,1088.0,963.0,761.0,656.0,782.0,1011.0,1288.0,1293.0,918.0,542.0,410.0,169.0
77055,52269.0,15034.0,959.0,733.0,1018.0,899.0,807.0,725.0,813.0,727.0,591.0,1086.0,1180.0,1371.0,951.0,517.0,604.0,2053.0
77072,41041.0,17853.0,1302.0,1361.0,1053.0,1307.0,1539.0,996.0,1044.0,1179.0,974.0,1357.0,2104.0,1441.0,1218.0,361.0,456.0,161.0
77011,30665.0,5619.0,628.0,476.0,687.0,565.0,387.0,340.0,207.0,306.0,341.0,398.0,571.0,384.0,157.0,99.0,65.0,8.0
77012,36537.0,6084.0,484.0,606.0,465.0,524.0,395.0,402.0,349.0,500.0,282.0,699.0,603.0,314.0,321.0,61.0,53.0,26.0
77013,39513.0,6107.0,583.0,219.0,670.0,507.0,347.0,336.0,448.0,296.0,424.0,579.0,792.0,480.0,287.0,30.0,79.0,30.0
77449,72397.0,33719.0,955.0,852.0,808.0,985.0,1079.0,1235.0,1906.0,1642.0,1272.0,2562.0,4038.0,5164.0,5363.0,2645.0,1866.0,1347.0
77450,101240.0,24987.0,618.0,538.0,350.0,516.0,751.0,665.0,776.0,864.0,613.0,1729.0,1942.0,3013.0,3070.0,2238.0,2540.0,4764.0
77505,77490.0,8370.0,279.0,188.0,131.0,232.0,275.0,217.0,174.0,256.0,286.0,835.0,1072.0,1302.0,1107.0,677.0,835.0,504.0
77536,82420.0,10853.0,399.0,151.0,172.0,407.0,313.0,468.0,460.0,408.0,365.0,820.0,1086.0,1492.0,1439.0,1046.0,1133.0,694.0
77587,44371.0,4511.0,322.0,278.0,281.0,302.0,183.0,224.0,391.0,310.0,265.0,478.0,449.0,449.0,291.0,170.0,53.0,65.0
77086,43116.0,8078.0,443.0,592.0,468.0,678.0,508.0,614.0,412.0,428.0,402.0,701.0,640.0,1143.0,437.0,408.0,181.0,23.0
77493,85865.0,9004.0,186.0,196.0,50.0,194.0,107.0,391.0,224.0,290.0,311.0,791.0,1243.0,1243.0,1221.0,938.0,908.0,711.0
77015,45917.0,17509.0,1282.0,662.0,1237.0,1392.0,1056.0,977.0,963.0,1030.0,850.0,1759.0,1937.0,2000.0,1031.0,588.0,433.0,312.0
77022,30164.0,9228.0,1363.0,951.0,846.0,763.0,660.0,624.0,543.0,485.0,352.0,681.0,811.0,543.0,312.0,127.0,93.0,74.0
77026,26644.0,8063.0,1470.0,749.0,812.0,767.0,664.0,613.0,386.0,429.0,336.0,510.0,616.0,356.0,161.0,75.0,94.0,25.0
77027,91296.0,8915.0,403.0,172.0,79.0,232.0,223.0,165.0,226.0,266.0,210.0,715.0,991.0,1067.0,717.0,653.0,889.0,1907.0
77047,56706.0,9626.0,440.0,313.0,567.0,469.0,602.0,470.0,544.0,464.0,336.0,781.0,1277.0,1505.0,587.0,594.0,461.0,216.0
77005,180758.0,10114.0,290.0,291.0,161.0,183.0,190.0,104.0,210.0,183.0,66.0,408.0,627.0,720.0,550.0,502.0,971.0,4658.0
77007,121458.0,19082.0,556.0,385.0,362.0,405.0,308.0,327.0,469.0,220.0,332.0,872.0,1576.0,2102.0,1867.0,1768.0,2558.0,4975.0
77017,44286.0,9999.0,877.0,603.0,701.0,528.0,702.0,539.0,504.0,626.0,481.0,672.0,1199.0,1209.0,584.0,367.0,291.0,116.0
77019,112243.0,10835.0,548.0,274.0,213.0,242.0,228.0,193.0,336.0,168.0,240.0,573.0,643.0,1113.0,1195.0,735.0,1149.0,2985.0
77396,64195.0,16773.0,733.0,260.0,472.0,714.0,674.0,893.0,691.0,1003.0,406.0,1508.0,2267.0,2521.0,1868.0,549.0,1137.0,1077.0
77447,72775.0,4710.0,80.0,193.0,68.0,160.0,109.0,258.0,133.0,361.0,70.0,393.0,635.0,811.0,545.0,343.0,125.0,426.0
77025,71990.0,12959.0,977.0,414.0,292.0,500.0,535.0,336.0,471.0,440.0,527.0,980.0,1161.0,1422.0,1160.0,516.0,900.0,2328.0
77038,41347.0,8474.0,393.0,584.0,550.0,851.0,628.0,670.0,422.0,468.0,416.0,796.0,775.0,1070.0,272.0,388.0,131.0,60.0
77039,34608.0,7483.0,684.0,761.0,642.0,600.0,598.0,496.0,412.0,447.0,314.0,553.0,549.0,863.0,290.0,186.0,85.0,3.0
77040,55438.0,17652.0,552.0,618.0,747.0,898.0,971.0,841.0,1281.0,1132.0,1022.0,1310.0,2073.0,2019.0,1549.0,792.0,888.0,959.0
77057,57093.0,19843.0,1167.0,914.0,1023.0,1041.0,1096.0,940.0,781.0,798.0,778.0,1630.0,1798.0,2284.0,1488.0,761.0,894.0,2450.0
77060,28948.0,13877.0,1515.0,1222.0,1596.0,1643.0,1156.0,886.0,1139.0,888.0,446.0,1185.0,921.0,813.0,221.0,106.0,120.0,20.0
77067,40138.0,10160.0,673.0,804.0,804.0,748.0,576.0,888.0,564.0,605.0,507.0,713.0,1058.0,852.0,772.0,274.0,267.0,55.0
77068,80313.0,3821.0,72.0,49.0,106.0,131.0,190.0,117.0,132.0,187.0,150.0,328.0,339.0,508.0,360.0,385.0,367.0,400.0
77077,66587.0,26614.0,1380.0,942.0,1140.0,1401.0,743.0,1152.0,961.0,1464.0,1015.0,2122.0,2685.0,2692.0,2319.0,1575.0,1872.0,3151.0
77081,29079.0,18070.0,1484.0,1934.0,2378.0,2209.0,1229.0,1487.0,1210.0,721.0,669.0,1149.0,1064.0,1196.0,538.0,215.0,220.0,367.0
77028,30233.0,5526.0,841.0,549.0,558.0,449.0,345.0,364.0,385.0,310.0,226.0,385.0,375.0,365.0,195.0,54.0,72.0,53.0
77058,51635.0,8080.0,816.0,311.0,413.0,586.0,384.0,470.0,409.0,306.0,260.0,604.0,916.0,743.0,615.0,474.0,323.0,450.0
77023,37462.0,9592.0,847.0,692.0,765.0,907.0,585.0,673.0,512.0,685.0,414.0,775.0,855.0,842.0,481.0,187.0,266.0,106.0
77093,30837.0,12275.0,1610.0,908.0,1111.0,1111.0,1215.0,876.0,695.0,611.0,642.0,1015.0,896.0,987.0,306.0,118.0,126.0,48.0
77032,30451.0,4292.0,786.0,458.0,364.0,281.0,218.0,446.0,230.0,242.0,148.0,271.0,357.0,322.0,124.0,14.0,27.0,4.0
77056,107003.0,10782.0,539.0,152.0,319.0,253.0,88.0,85.0,301.0,393.0,182.0,468.0,905.0,1254.0,1216.0,794.0,962.0,2871.0
77065,54688.0,15033.0,839.0,427.0,533.0,812.0,798.0,676.0,1113.0,942.0,699.0,1214.0,1477.0,1973.0,1139.0,686.0,1088.0,617.0
77069,64313.0,8212.0,338.0,162.0,185.0,428.0,167.0,586.0,289.0,481.0,326.0,839.0,879.0,941.0,809.0,565.0,367.0,850.0
77070,69038.0,19713.0,899.0,608.0,674.0,782.0,797.0,778.0,678.0,856.0,671.0,1700.0,2374.0,3038.0,1898.0,1390.0,1280.0,1290.0
77345,128646.0,9725.0,243.0,184.0,201.0,164.0,145.0,250.0,166.0,240.0,135.0,272.0,669.0,922.0,1072.0,1084.0,1377.0,2601.0
77377,96064.0,11624.0,215.0,152.0,167.0,259.0,129.0,315.0,383.0,413.0,439.0,780.0,676.0,2202.0,1343.0,1039.0,1596.0,1516.0
77042,47297.0,19165.0,1575.0,857.0,1242.0,1109.0,1230.0,1173.0,1008.0,998.0,754.0,1633.0,1794.0,2108.0,891.0,594.0,964.0,1235.0
77388,87574.0,15774.0,358.0,200.0,331.0,389.0,468.0,499.0,374.0,467.0,526.0,1417.0,1300.0,2904.0,1750.0,1594.0,1659.0,1538.0
77043,60043.0,8963.0,336.0,400.0,359.0,335.0,512.0,437.0,505.0,330.0,366.0,898.0,783.0,1162.0,686.0,407.0,764.0,683.0
77089,66775.0,16858.0,940.0,345.0,359.0,509.0,721.0,698.0,800.0,727.0,861.0,1449.0,2078.0,3054.0,1952.0,1190.0,698.0,477.0
77033,33750.0,9139.0,1067.0,883.0,634.0,588.0,822.0,735.0,426.0,496.0,628.0,658.0,977.0,607.0,328.0,172.0,63.0,55.0
77064,67763.0,16300.0,633.0,525.0,285.0,597.0,782.0,919.0,613.0,871.0,568.0,1517.0,1704.0,2631.0,1778.0,1116.0,922.0,839.0
77099,38878.0,16805.0,1515.0,1128.0,939.0,1662.0,1205.0,933.0,1278.0,1215.0,775.0,1358.0,1673.0,1593.0,740.0,369.0,277.0,145.0
77201,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
